Copyright;ARTOTHEK_Bildnummer;Caption = Bildtitel;Keywords;Keywords II;Fulltext Keywords;Orientation;Künstler;Standort;Technik;
Christie's Images Ltd/ARTOTHEK;47585;'To South Africa in Seventeen Days'. Ein Werbeplakat für Union Castle Line.;tätig 1899-1919,Randall,Maurice,Christie's Images Ltd,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,schiffsreise,schiff,kreuzfahrtschiff,kreuzfahrt,union castle line,südafrika;1899-1919,Africa,Castle,Christie's,Days,ein,Farblithographie,Für,Images,in,Kreuzfahrt,Kreuzfahrtschiff,Line,Ltd,Maurice,Plakat,Plakatkunst,Poster,Randall,Reisen,Schiff,Schiffsreise,Seventeen,South,südafrika,suedafrika,tätig,to,Tourismus,Union,Werbeplakat,Werbung;Hochformat;Randall, Maurice;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47584;L'ete en Suisse. Ein Poster des Schweizer Fremdenverkehrsamts. 1921.;Emil,Christie's Images Ltd,1877-1936,Cardinaux,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,schweiz,alpen,berge,bergwanderung,wandern,wanderung,sonnig,wanderer,rast;1877-1936,1921,Alpen,Berge,Bergwanderung,Cardinaux,Christie's,des,ein,Emil,en,Farblithographie,Fremdenverkehrsamts,Images,L'ete,Ltd,Plakat,Plakatkunst,Poster,Rast,Reisen,Schweiz,Schweizer,Sonnenlicht,Sonnenschein,sonnig,Suisse,Tourismus,Wanderer,Wandern,Wanderung,Werbeplakat,Werbung;Hochformat;Cardinaux, Emil;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47583;Werbeplakat für Beaulieu-sur-Mer. 1925.;Viano,Farblithographie,tätig um 1925,Christie's Images Ltd;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,urlaub,Côte d?Azur,frankreich,frau,fröhlich,glücklich,tennis,sonnig,sonnenschein,sommer,sommerlich;1925,Beaulieu-sur-Mer,Christie's,Côte,d?Azur,Farblithographie,Frankreich,franz?sisch,franzoesisch,Französisch,französische,Französischer,Französisches,Frau,Frauen,froehlich,fröhlich,Für,glücklich,gluecklich,Images,Ltd,Plakat,Plakatkunst,Poster,Reisen,Sommer,sommerlich,Sonnenlicht,Sonnenschein,sonnig,tätig,Tennis,Tourismus,Um,Urlaub,Viano,weiblich,Weibliche,Weiblicher,Weibliches,Werbeplakat,Werbung;Hochformat;Viano;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47582;Ein Werbeplakat für den Ford V8 Motor. 1933.;Anonym,Farblithographie,Christie's Images Ltd;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,ford,auto,automobil,mobilität,bogenschütze;1933,Anonym,Auto,Automobil,Bogenschütze,Christie's,den,ein,Farblithographie,Ford,Für,Images,Ltd,Mobilitaet,Mobilität,Motor,Plakat,Plakatkunst,Poster,V8,Werbeplakat,Werbung;Hochformat;Anonym;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47581;Werbeplakat für den Lago di Garda, Riva. Ca. 1926.;aktiv um 1920,Christie's Images Ltd,Antonio,Simeoni,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismus,urlaub,italien,gardasee,entspannung,erholung,boote,see;1920,1926,aktiv,Antonio,Boote,ca,Christie's,den,di,Entspannung,Erholung,Farblithographie,Für,Garda,Gardasee,Images,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Lago,Ltd,Plakat,Plakatkunst,Poster,Reisen,Riva,See,Simeoni,Tourismus,Um,Urlaub,Werbeplakat,Werbung;Hochformat;Simeoni, Antonio;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47580;Taormina. 1927.;Borgoni,Mario,Christie's Images Ltd,1869-1936,Farblithographie;Poster,Plakat,Werbung,Werbeplakat,Plakatkunst,reisen,tourismusitalien,sizilien,mittelmeer,urlaub,meer,italien;1869-1936,1927,Borgoni,Christie's,Farblithographie,Images,Italien,Italienisch,Italienische,Italienischer,Italienisches,Italiens,Ltd,Mario,Meer,Mittelmeer,Plakat,Plakatkunst,Poster,Reisen,Sizilien,Taormina,tourismusitalien,Urlaub,Werbeplakat,Werbung;Hochformat;Borgoni, Mario;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47579;Charlie Chaplin - The Kid. 1921.;unbekannt,Unbekannt,Christie's Images Ltd;charlie chaplin,the kid,kinoplakat,film,filmplakat,kino,Poster,Plakat,Werbung,Werbeplakat,Plakatkunst;-,1921,Chaplin,charlie,Christie's,Film,filmplakat,filmposter,Images,Kid,Kino,kinoplakat,Ltd,Plakat,Plakatkunst,Poster,The,unbekannt,Werbeplakat,Werbung;Hochformat;Unbekannt;Christie's Images Ltd;;
Christie's Images Ltd/ARTOTHEK;47577;Ausstellung Secession. 1918.;unbekannt,Unbekannt,Farblithographie,Christie's Images Ltd;Poster,Plakat,Plakatkunst,secession,wien,künstlervereinigung,1918,ausstellung,druckgrafik,lithografie,österreich;1918,Ausstellung,Christie's,Druckgrafik,Farblithographie,Images,Künstlervereinigung,Lithografie,Lithographie,Ltd,Österreich,Plakat,Plakatkunst,Poster,Secession,Sezession,unbekannt,Wien;Hochformat;Unbekannt;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47576;'La Plume', mit Sarah Bernhardt. 1896.;Mucha,Alphonse,Christie's Images Ltd,Alfons,1860-1939,Farblithographie;alphonse,alfons,mucha,frau,porträt,plakat,plakatkunst,poster,druckgrafik,lithografie,jugendstil,österreichisch;1860-1939,1896,Alfons,Alphonse,Bernardt,Bernhardt,Bildnis,Christie's,Druckgrafik,Farblithographie,Frau,Frauen,Images,Jugendstil,La,Lithografie,Lithographie,Ltd,mit,Mucha,oesterreichisch,österreichisch,Plakat,Plakatkunst,Plume,Portraet,Portrait,Porträt,Poster,Sara,Sarah,weiblich,Weibliche,Weiblicher,Weibliches;Hochformat;Mucha, Alfons;Christie's Images Ltd;Farblithographie;
Christie's Images Ltd/ARTOTHEK;47480;Landschaft mit Fluss und zwei Figuren. 1918;Felix,Öl/Lwd.,Christie's Images Ltd,Landschaft,20. Jahrhundert,1865-1925,Vallotton,Félix;Felix Vallotton,Flusslandschaft,Figur,Natur,grün,Spaziergänger,Wanderer,Weg,Fluss,Flussbiegung,Baum,Wolken;1865-1925,1918,20,Baum,Christie's,Felix,Félix,Figur,Figuren,Fluss,Flussbiegung,Flusslandschaft,Gruen,grün,grüne,grünem,Grünen,grüner,grünes,Images,Jahrhundert,Landschaft,Ltd,mit,Natur,Öl/Lwd,Spaziergänger,und,Vallotton,Wanderer,Weg,Wolken,zwei;Querformat;Vallotton, Felix;Christie's Images Ltd;Öl/Lwd.;
